Title,Publish date,Category,Associated project name,Link to item,Type,Link to project page,Year,Project Status,pdf_url,local_path,status
High Efficiency Silicon Solar Cell Technology Final Report,20/12/2021,"Solar energy, Solar PV R&amp;D",High Efficiency Silicon Solar Cell Technology,https://arena.gov.au/knowledge-bank/high-efficiency-silicon-solar-cell-technology-final-report/,Reports,https://arena.gov.au/projects/development-and-commercialisation-of-high-efficiency-silicon-solar-cell-technology/,2010,Past,https://arena.gov.au/assets/2021/12/development-and-commercialisation-of-high-efficiency-silicon-solar-cell-final-report.pdf,pdfs/Reports/High_Efficiency_Silicon_Solar_Cell_Technology_Final_Report_02c0d0.pdf,downloaded
State of the Market Report 2021,13/12/2021,"Renewables for industry, Renewables in buildings",Business Renewables Centre Australia,https://arena.gov.au/knowledge-bank/state-of-the-market-2021/,Reports,https://arena.gov.au/projects/business-renewables-centre-australia/,2018,Past,https://arena.gov.au/assets/2021/12/corporate-renewable-power-purchase-agreements-in-australia-state-of-the-market.pdf,pdfs/Reports/State_of_the_Market_Report_2021_9a5bcb.pdf,downloaded
Solar Beam Pumps Lessons Learnt,13/12/2021,"Solar energy, Solar PV R&amp;D",Conversion of Remote Crude Oil Beam Pumps to Solar & Battery,https://arena.gov.au/knowledge-bank/solar-beam-pumps-lessons-learnt/,"Reports, Lessons",https://arena.gov.au/projects/conversion-of-remote-crude-oil-beam-pumps/,2018,Past,https://arena.gov.au/assets/2021/12/solar-beam-pumps-lessons-learnt.pdf,pdfs/Reports_Lessons/Solar_Beam_Pumps_Lessons_Learnt_3010c8.pdf,downloaded
Conversion of Remote Crude Oil Beam Pumps to Solar & Battery Final Report,13/12/2021,"Solar energy, Solar PV R&amp;D",Conversion of Remote Crude Oil Beam Pumps to Solar & Battery,https://arena.gov.au/knowledge-bank/final-report-conversion-of-remote-crude-oil-beam-pumps-to-solar-battery/,Reports,https://arena.gov.au/projects/conversion-of-remote-crude-oil-beam-pumps/,2018,Past,https://arena.gov.au/assets/2021/12/conversion-of-remote-crude-oil-pumps-to-solar-battery-final-report.pdf,pdfs/Reports/Conversion_of_Remote_Crude_Oil_Beam_Pumps_to_Solar_&_Battery_Final_Report_ad58b4.pdf,downloaded
Project Symphony Lessons Learnt Report 1,7/12/2021,Distributed energy resources,Western Australia Distributed Energy Resources Orchestration Pilot (Project Symphony),https://arena.gov.au/knowledge-bank/project-symphony-lessons-learnt-report-1/,"Reports, Lessons",https://arena.gov.au/projects/western-australia-distributed-energy-resources-orchestration-pilot/,2021,Past,https://arena.gov.au/assets/2021/12/project-symphony-lessons-learnt-report-1.pdf,pdfs/Reports_Lessons/Project_Symphony_Lessons_Learnt_Report_1_2c6a1c.pdf,downloaded
RayGen Solar Power Plant Demonstration Project Lessons Learnt 1,6/12/2021,"Concentrated solar thermal, Solar energy",RayGen Solar Power Plant Demonstration,https://arena.gov.au/knowledge-bank/raygen-solar-power-plant-demonstration-project-lessons-learnt-1/,"Reports, Lessons",https://arena.gov.au/projects/raygen-solar-power-plant-demonstration/,2021,Past,https://arena.gov.au/assets/2021/12/raygen-solar-power-plant-project-lessons-learnt-1.pdf,pdfs/Reports_Lessons/RayGen_Solar_Power_Plant_Demonstration_Project_Lessons_Learnt_1_e48f66.pdf,downloaded
Kidston Pumped Hydro Lessons Learnt 2,2/12/2021,Hydropower / Pumped Hydro Energy Storage,Kidston Pumped Hydro Energy Storage,https://arena.gov.au/knowledge-bank/kidston-pumped-hydro-lessons-learnt-2/,Reports,https://arena.gov.au/projects/kidston-pumped-hydro-energy-storage/,2021,Current,https://arena.gov.au/assets/2021/12/kidston-pumped-storage-hydo-lessons-learnt-2.pdf,pdfs/Reports/Kidston_Pumped_Hydro_Lessons_Learnt_2_2c4b87.pdf,downloaded
ARENA Insights Newsletter Edition #33,30/11/2021,System security and reliability,,https://arena.gov.au/knowledge-bank/arena-insights-newsletter-edition-33/,InsightNewsletter,,,,,,no_pdf_found
ARENA Insights Spotlight: Rheem Smart Network,30/11/2021,Distributed energy resources,Rheem Active Hot Water Control,https://arena.gov.au/knowledge-bank/arena-insights-spotlight-rheem-smart-network/,"Reports, Insights",https://arena.gov.au/projects/rheem-active-hot-water-control/,2019,Past,https://arena.gov.au/assets/2021/11/arena-insights-spotlight-rheem-smart-network-project.pdf,pdfs/Reports_Insights/ARENA_Insights_Spotlight__Rheem_Smart_Network_b07666.pdf,downloaded
The Role of Flexible Demand in Australia's Energy Future,30/11/2021,Demand response,,https://arena.gov.au/knowledge-bank/the-role-of-flexible-demand-in-australias-energy-future/,"Reports, Insights",,,,https://arena.gov.au/assets/2021/11/the-role-of-flexible-demand-in-australias-energy-future.pdf,pdfs/Reports_Insights/The_Role_of_Flexible_Demand_in_Australia's_Energy_Future_0b8ad5.pdf,downloaded
Gannawarra Energy Storage System Final Report,30/11/2021,Battery storage,Gannawarra Energy Storage System (GESS),https://arena.gov.au/knowledge-bank/gannawarra-energy-storage-system-final-report/,Reports,https://arena.gov.au/projects/gannawarra-energy-storage-system/,2018,Past,https://arena.gov.au/assets/2021/11/gannawarra-energy-storage-system-final-report.pdf,pdfs/Reports/Gannawarra_Energy_Storage_System_Final_Report_44a47a.pdf,downloaded
Manufacturing of Printed Perovskite PV Modules Final Report,30/11/2021,"Solar energy, Solar PV R&amp;D",Manufacturing of Printed Perovskite PV Modules,https://arena.gov.au/knowledge-bank/manufacturing-of-printed-perovskite-pv-modules-final-report/,Reports,https://arena.gov.au/projects/printed-perovskite-pv-modules/,2017,Past,https://arena.gov.au/assets/2021/11/manufacturing-of-printed-perovskite-pv-modules.pdf,pdfs/Reports/Manufacturing_of_Printed_Perovskite_PV_Modules_Final_Report_ea67d8.pdf,downloaded
Development of Stable Electrodes for Perovskite Solar Cells Final Report,30/11/2021,"Solar energy, Solar PV R&amp;D",Development of Stable Electrodes for Perovskite Solar Cells,https://arena.gov.au/knowledge-bank/development-of-stable-electrodes-for-perovskite-solar-cells-final-report/,Reports,https://arena.gov.au/projects/development-stable-electrodes-perovskite-solar-cells/,2017,Past,https://arena.gov.au/assets/2022/04/development-of-stable-electrodes-for-perovskite-solar-cells-final-report.pdf,pdfs/Reports/Development_of_Stable_Electrodes_for_Perovskite_Solar_Cells_Final_Report_cba90b.pdf,downloaded
Net Zero Energy Demand Homes Lessons Learnt 1,30/11/2021,Distributed energy resources,Frasers Property Net Zero Energy Demand Homes,https://arena.gov.au/knowledge-bank/net-zero-energy-demand-homes-lessons-learnt-1/,"Reports, Lessons",https://arena.gov.au/projects/net-zero-energy-demand-homes/,2019,Past,https://arena.gov.au/assets/2022/11/lessons-learnt-report-1-net-zero-energy-demand-homes.pdf,pdfs/Reports_Lessons/Net_Zero_Energy_Demand_Homes_Lessons_Learnt_1_ae78ee.pdf,downloaded
Mount Piper Commercialisation Life Cycle Analysis,23/11/2021,Bioenergy / Energy from waste,Mount Piper Energy Recovery Project Final Investment Decision Study,https://arena.gov.au/knowledge-bank/mount-piper-commercialisation-life-cycle-analysis/,Reports,https://arena.gov.au/projects/mount-piper-energy-recovery-project-final-investment-decision-study/,2018,Past,https://arena.gov.au/assets/2021/11/mt-piper-commercialisation-life-cycle-analysis.pdf,pdfs/Reports/Mount_Piper_Commercialisation_Life_Cycle_Analysis_4880f8.pdf,downloaded
Brimbank Aquatic and Wellness Centre Integrated Energy System Lessons Learnt 1,20/11/2021,Renewables in buildings,Brimbank Aquatic and Wellness Centre Integrated Energy System,https://arena.gov.au/knowledge-bank/brimbank-aquatic-and-wellness-centre-integrated-energy-system-lessons-learnt-1/,"Reports, Lessons",https://arena.gov.au/projects/brimbank-aquatic-and-wellness-centre-integrated-energy-system/,2020,Past,https://arena.gov.au/assets/2021/11/brimbank-aquatic-wellness-centre-integrated-energy-system-lessons-learnt-report-1.pdf,pdfs/Reports_Lessons/Brimbank_Aquatic_and_Wellness_Centre_Integrated_Energy_System_Lessons_Learnt_1_d8249f.pdf,downloaded
Accelerating the Growth Development of Energy Monitoring Report,19/11/2021,Renewables for industry,Accelerating the Growth Development of Energy Monitoring,https://arena.gov.au/knowledge-bank/accelerating-the-growth-development-of-energy-monitoring-report/,Reports,https://arena.gov.au/projects/accelerating-the-growth-development-of-energy-monitoring/,2018,Past,https://arena.gov.au/assets/2022/01/accelerating-the-growth-development-of-energy-monitoring-report.pdf,pdfs/Reports/Accelerating_the_Growth_Development_of_Energy_Monitoring_Report_4de2ba.pdf,downloaded
My Energy Marketplace Lessons Learnt 4,19/11/2021,Distributed energy resources,My Energy Marketplace,https://arena.gov.au/knowledge-bank/my-energy-marketplace-lessons-learnt-4/,"Reports, Lessons",https://arena.gov.au/projects/wattwatchers-my-energy-marketplace/,2019,Past,https://arena.gov.au/assets/2022/01/my-energy-marketplace-lessons-learnt-4.pdf,pdfs/Reports_Lessons/My_Energy_Marketplace_Lessons_Learnt_4_250e5c.pdf,downloaded
Australia's Bioenergy Roadmap Report,18/11/2021,Bioenergy / Energy from waste,,https://arena.gov.au/knowledge-bank/australias-bioenergy-roadmap-report/,Reports,,,,https://arena.gov.au/assets/2021/11/australia-bioenergy-roadmap-report.pdf,pdfs/Reports/Australia's_Bioenergy_Roadmap_Report_6bf36c.pdf,downloaded
Presentation: Competitive Battery Funding Round ARENA Consultation,8/11/2021,Battery storage,,https://arena.gov.au/knowledge-bank/presentation-competitive-battery-funding-round-arena-consultation/,Presentation,,,,https://arena.gov.au/assets/2021/11/competitive-battery-funding-round-arena-consultation.pdf,pdfs/Presentation/Presentation__Competitive_Battery_Funding_Round_ARENA_Consultation_8cf5b1.pdf,downloaded
Rheem Performance Report 1,3/11/2021,Distributed energy resources,Rheem Active Hot Water Control,https://arena.gov.au/knowledge-bank/rheem-performance-report-1/,Reports,https://arena.gov.au/projects/rheem-active-hot-water-control/,2019,Past,https://arena.gov.au/assets/2021/11/rheem-performance-report-1.pdf,pdfs/Reports/Rheem_Performance_Report_1_b585c4.pdf,downloaded
Monash University Building Integrated PV Study Public Dissemination Report,1/11/2021,"Solar energy, Solar PV R&amp;D",Monash University Building Integrated PV Study,https://arena.gov.au/knowledge-bank/monash-university-building-integrated-pv-study-public-dissemination-report/,Reports,https://arena.gov.au/projects/monash-university-building-integrated-pv-study/,2017,Past,https://arena.gov.au/assets/2022/02/monash-university-building-integrated-pv-study-public-dissemination-report.pdf,pdfs/Reports/Monash_University_Building_Integrated_PV_Study_Public_Dissemination_Report_2b2be6.pdf,downloaded
National Low-Voltage Feeder Taxonomy Study,30/10/2021,Distributed energy resources,National Low-Voltage Feeder Taxonomy Study,https://arena.gov.au/knowledge-bank/national-low-voltage-feeder-taxonomy-study/,Reports,https://arena.gov.au/projects/national-low-voltage-feeder-taxonomy-study/,2018,Past,https://arena.gov.au/assets/2022/08/national-low-voltage-feeder-taxonomy-study.pdf,pdfs/Reports/National_Low-Voltage_Feeder_Taxonomy_Study_5413eb.pdf,downloaded
Wave Energy Cost Reduction Resource Assessment Report,30/10/2021,Ocean energy,Wave Energy Cost Reduction,https://arena.gov.au/knowledge-bank/wave-energy-cost-reduction-resource-assessment-report/,Reports,https://arena.gov.au/projects/wave-energy-cost-reduction-through-location-and-configuration-optimisation/,2016,Past,https://arena.gov.au/assets/2021/10/wave-energy-cost-reduction-resource-assessment-report.pdf,pdfs/Reports/Wave_Energy_Cost_Reduction_Resource_Assessment_Report_98b346.pdf,downloaded
Advancing Renewables with PCM Thermal Energy Storage Lessons Learnt 1,29/10/2021,Renewables for industry,Advancing Renewables with PCM Thermal Energy Storage,https://arena.gov.au/knowledge-bank/advancing-renewables-with-pcm-thermal-energy-storage-lessons-learnt-1/,"Reports, Lessons",https://arena.gov.au/projects/advancing-renewables-with-pcm-thermal-energy-storage/,2019,Past,https://arena.gov.au/assets/2022/01/glaciem-lessons-learnt-report-1.pdf,pdfs/Reports_Lessons/Advancing_Renewables_with_PCM_Thermal_Energy_Storage_Lessons_Learnt_1_7fd749.pdf,downloaded
ARENA Insights Newsletter Edition #32,28/10/2021,Renewables for industry,,https://arena.gov.au/knowledge-bank/arena-insights-newsletter-edition-32/,InsightNewsletter,,,,,,no_pdf_found
Insights: Mechanical Vapour Recompression for Low Carbon Alumina Refining,26/10/2021,Renewables for industry,Mechanical Vapour Recompression for Low Carbon Alumina Refining,https://arena.gov.au/knowledge-bank/insights-mechanical-vapour-recompression-for-low-carbon-alumina-refining/,"Reports, Insights",https://arena.gov.au/projects/mechanical-vapour-recompression-for-low-carbon-alumina-refining/,2021,Past,https://arena.gov.au/assets/2021/10/insights-mechanical-vapour-recompression-for-low-carbon-alumina-refining.pdf,pdfs/Reports_Insights/Insights__Mechanical_Vapour_Recompression_for_Low_Carbon_Alumina_Refining_32de3d.pdf,downloaded
Evie Lessons Learnt Report October 2021,25/10/2021,Electric vehicles,National Ultrafast EV Charging Infrastructure Network,https://arena.gov.au/knowledge-bank/evie-lessons-learnt-report-october-2021/,"Reports, Lessons",https://arena.gov.au/projects/national-ultrafast-ev-charging-infrastructure-network/,2019,Current,https://arena.gov.au/assets/2021/10/evie-lessons-learnt-report-oct-2021.pdf,pdfs/Reports_Lessons/Evie_Lessons_Learnt_Report_October_2021_2ecc03.pdf,downloaded
Phase 3 - Full Scale Test Work Report,19/10/2021,Off grid,Intermittent Dynamic Electrowinning Using Renewable Energy,https://arena.gov.au/knowledge-bank/phase-3-full-scale-test-work-report/,Reports,https://arena.gov.au/projects/intermittent-dynamic-electrowinning/,2019,Past,https://arena.gov.au/assets/2021/10/element-25-phase-3-full-scale-test-work-report.pdf,pdfs/Reports/Phase_3_-_Full_Scale_Test_Work_Report_a18d62.pdf,downloaded
Ballarat Battery Energy Storage System Final Report,15/10/2021,Battery storage,Ballarat Energy Storage System (BESS),https://arena.gov.au/knowledge-bank/ballarat-battery-energy-storage-system-final-report/,Reports,https://arena.gov.au/projects/ballarat-energy-storage-system/,2018,Past,https://arena.gov.au/assets/2021/10/ballarat-bess-final-report.pdf,pdfs/Reports/Ballarat_Battery_Energy_Storage_System_Final_Report_556750.pdf,downloaded
Demand Response Short Notice Trial RERT Trial Year 3 Report,11/10/2021,Demand response,,https://arena.gov.au/knowledge-bank/demand-response-short-notice-trial-rert-trial-year-3-report/,Reports,,,,https://arena.gov.au/assets/2021/10/demand-response-short-notice-rert-trial-year-3-report.pdf,pdfs/Reports/Demand_Response_Short_Notice_Trial_RERT_Trial_Year_3_Report_06414d.pdf,downloaded
CSIRO Solid Oxide Electrolysis Final Report,7/10/2021,Hydrogen energy,Liquid Fuel Carrier Research and Development,https://arena.gov.au/knowledge-bank/csiro-solid-oxide-electrolysis-final-report/,Reports,https://arena.gov.au/projects/liquid-fuel-carrier/,2018,Past,https://arena.gov.au/assets/2021/10/csiro-solid-oxide-electrolysis-summary-report.pdf,pdfs/Reports/CSIRO_Solid_Oxide_Electrolysis_Final_Report_2e8989.pdf,downloaded
Triple Junction Silicon Perovskite Tandem Photovoltaics Interim Report,7/10/2021,"Solar energy, Solar PV R&amp;D",Triple Junction Silicon Perovskite Tandem Photovoltaics,https://arena.gov.au/knowledge-bank/triple-junction-silicon-perovskite-tandem-photovoltaics-interim-report/,"Reports, Lessons",https://arena.gov.au/projects/triple-junction-silicon-perovskite-tandem-photovoltaics/,2020,Past,https://arena.gov.au/assets/2021/10/triple-junction-silicon-perovskite-tandem-photovoltaics-interim-report.pdf,pdfs/Reports_Lessons/Triple_Junction_Silicon_Perovskite_Tandem_Photovoltaics_Interim_Report_8c72d7.pdf,downloaded
Durable Silicon Perovskite Tandem Photovoltaics,7/10/2021,"Solar energy, Solar PV R&amp;D",Durable Silicon Perovskite Tandem Photovoltaics,https://arena.gov.au/knowledge-bank/durable-silicon-perovskite-tandem-photovoltaics/,"Reports, Lessons",https://arena.gov.au/projects/durable-silicon-perovskite-tandem-photovoltaics/,2020,Past,https://arena.gov.au/assets/2022/02/durable-silicon-perovskite-tandem-photovoltaics-interim-report.pdf,pdfs/Reports_Lessons/Durable_Silicon_Perovskite_Tandem_Photovoltaics_0d27e4.pdf,downloaded
Presentation: DEIP Public Forum October 2021,6/10/2021,Distributed energy resources,,https://arena.gov.au/knowledge-bank/presentation-deip-public-forum-october-2021/,Presentation,,,,https://arena.gov.au/assets/2021/10/deip-public-forum-presentation-slides-october-21.pdf,pdfs/Presentation/Presentation__DEIP_Public_Forum_October_2021_9c1e24.pdf,downloaded
ARENA Short Term Forecasting Funding Round Evaluation,6/10/2021,System security and reliability,,https://arena.gov.au/knowledge-bank/arena-short-term-forecasting-funding-round-evaluation/,Reports,,,,https://arena.gov.au/assets/2021/10/arena-short-term-forecasting-funding-round-evaluation.pdf,pdfs/Reports/ARENA_Short_Term_Forecasting_Funding_Round_Evaluation_4613d3.pdf,downloaded
Monolithic Si/Perovskite Tandem Solar Cell Report,1/10/2021,"Solar energy, Solar PV R&amp;D",Monolithic Si/Perovskite Tandem Solar Cell: Towards High-Efficiency at Low-Cost,https://arena.gov.au/knowledge-bank/monolithic-si-perovskite-tandem-solar-cell-report/,Reports,https://arena.gov.au/projects/monolithic-si-perovskite-tandem-solar-cell-towards-high-efficiency-at-low-cost/,2020,Past,https://arena.gov.au/assets/2021/11/monolithic-si-perovskite-tandem-solar-cell-report.pdf,pdfs/Reports/Monolithic_Si_Perovskite_Tandem_Solar_Cell_Report_499a50.pdf,downloaded
Allume Rooftop Solar Final Report,1/10/2021,"Solar energy, Solar PV R&amp;D",Allume Rooftop Solar Salvation Army Pilot Demonstration,https://arena.gov.au/knowledge-bank/allume-rooftop-solar-final-report/,Reports,https://arena.gov.au/projects/allume-rooftop-solar-salvation-army-pilot-demonstration/,2019,Past,https://arena.gov.au/assets/2021/10/allume-rooftop-solar-final-report.pdf,pdfs/Reports/Allume_Rooftop_Solar_Final_Report_2bd153.pdf,downloaded
Wave Energy Cost Predictions: A Report for Wave Swell Energy Limited,1/10/2021,Ocean energy,UniWave200 King Island Project - Wave Swell,https://arena.gov.au/knowledge-bank/wave-energy-cost-predictions-a-report-for-wave-swell-energy-limited/,Reports,https://arena.gov.au/projects/uniwave200-king-island-project-wave-swell/,2019,Past,https://arena.gov.au/assets/2021/10/wave-energy-cost-predictions-a-report-for-wave-swell-energy-limited.pdf,pdfs/Reports/Wave_Energy_Cost_Predictions__A_Report_for_Wave_Swell_Energy_Limited_b0280f.pdf,downloaded
Multifunctional Dielectric Layers Enabling Production of High-Efficiency Solar Cells Interim Report,1/10/2021,"Solar energy, Solar PV R&amp;D",Multifunctional Dielectric Layers Enabling Production of High-Efficiency Solar Cells,https://arena.gov.au/knowledge-bank/multifunctional-dielectric-layers-enabling-production-of-high-efficiency-solar-cells-interim-report/,Reports,https://arena.gov.au/projects/multifunctional-dielectric-layers-enabling-production-of-high-efficiency-solar-cells/,2020,Past,https://arena.gov.au/assets/2021/11/multifunctional-dielectric-layers-enabling-production-of-high-efficiency-solar-cells-report.pdf,pdfs/Reports/Multifunctional_Dielectric_Layers_Enabling_Production_of_High-Efficiency_Solar_Cells_Interim_Report_6430c9.pdf,downloaded
DESIJN Advanced Silicon Solar Cells Final Report,30/09/2021,"Solar energy, Solar PV R&amp;D",Advanced Silicon Solar Cells,https://arena.gov.au/knowledge-bank/desijn-advanced-silicon-solar-cells-final-report/,Reports,https://arena.gov.au/projects/advanced-silicon-solar-cells/,2017,Past,https://arena.gov.au/assets/2021/10/desijn-advanced-silicon-solar-cells-final-report.pdf,pdfs/Reports/DESIJN_Advanced_Silicon_Solar_Cells_Final_Report_77b65f.pdf,downloaded
AGL EV Orchestration Trial Lessons Learnt 2,30/09/2021,"Battery storage, Electric vehicles",AGL Electric Vehicle Orchestration Trial,https://arena.gov.au/knowledge-bank/agl-ev-orchestration-trial-lessons-learnt-2/,"Reports, Lessons",https://arena.gov.au/projects/agl-electric-vehicle-orchestration-trial/,2020,Past,https://arena.gov.au/assets/2021/09/agl-electric-vehicle-orchestration-trial-lessons-learnt-report-2.pdf,pdfs/Reports_Lessons/AGL_EV_Orchestration_Trial_Lessons_Learnt_2_1d77d7.pdf,downloaded
Project Symphony Vision and Impact Pathway,30/09/2021,Distributed energy resources,Western Australia Distributed Energy Resources Orchestration Pilot (Project Symphony),https://arena.gov.au/knowledge-bank/project-symphony-vision-and-impact-pathway/,Reports,https://arena.gov.au/projects/western-australia-distributed-energy-resources-orchestration-pilot/,2021,Past,https://arena.gov.au/assets/2021/09/project-symphony-vision-and-impact-pathway.pdf,pdfs/Reports/Project_Symphony_Vision_and_Impact_Pathway_daa66f.pdf,downloaded
Copper-Zinc-Tin-Sulphide on Silicon Multi-Junction Solar Cells Final Report,30/09/2021,"Solar energy, Solar PV R&amp;D",Copper-Zinc-Tin-Sulphide on Silicon Multi-Junction Solar Cells,https://arena.gov.au/knowledge-bank/copper-zinc-tin-sulphide-on-silicon-multi-junction-solar-cells-final-report/,"Reports, Lessons",https://arena.gov.au/projects/low-cost-high-efficiency-copper-zinc-tin-sulphide-czts-on-silicon-multi-junction-solar-cells/,2012,Past,https://arena.gov.au/assets/2021/09/copper-zinc-tin-sulphide-on-silicon-multi-junction-solar-cells-final-report.pdf,pdfs/Reports_Lessons/Copper-Zinc-Tin-Sulphide_on_Silicon_Multi-Junction_Solar_Cells_Final_Report_b35698.pdf,downloaded
deX Program Final Report,30/09/2021,Distributed energy resources,Decentralised Energy Exchange (deX) Program,https://arena.gov.au/knowledge-bank/dex-program-final-report/,Reports,https://arena.gov.au/projects/decentralised-energy-exchange/,2019,Past,https://arena.gov.au/assets/2021/11/dex-program-final-report.pdf,pdfs/Reports/deX_Program_Final_Report_736a9f.pdf,downloaded
Heterocontact-Polysilicon Hybrid IBC Solar Cell Lessons Learnt,30/09/2021,"Solar energy, Solar PV R&amp;D",Heterocontact-Polysilicon Hybrid Interdigitated Back Contact Solar Cells,https://arena.gov.au/knowledge-bank/heterocontact-polysilicon-hybrid-ibc-solar-cell-lessons-learnt/,"Reports, Lessons",https://arena.gov.au/projects/heterocontact-polysilicon-hybrid-interdigitated-back-contact-solar-cells/,2020,Past,https://arena.gov.au/assets/2021/11/heterocontact-polysilicon-hybrid-ibc-solar-cell-lessons-learnt.pdf,pdfs/Reports_Lessons/Heterocontact-Polysilicon_Hybrid_IBC_Solar_Cell_Lessons_Learnt_167404.pdf,downloaded
Meridian Energy Australia Wind Forecasting Demonstration Project Lessons Learnt 5,30/09/2021,Wind energy,Wind Forecasting Demonstration Project,https://arena.gov.au/knowledge-bank/meridian-energy-australia-wind-forecasting-demonstration-project-lessons-learnt-5/,"Reports, Lessons",https://arena.gov.au/projects/wind-forecasting-demonstration-project/,2019,Past,https://arena.gov.au/assets/2021/09/meridian-wind-forecasting-lessons-learnt-report-5.pdf,pdfs/Reports_Lessons/Meridian_Energy_Australia_Wind_Forecasting_Demonstration_Project_Lessons_Learnt_5_6e7109.pdf,downloaded
ARENA Insights Newsletter Edition #31,30/09/2021,Large-scale solar,,https://arena.gov.au/knowledge-bank/arena-insights-newsletter-edition-31/,InsightNewsletter,,,,,,no_pdf_found
Flexible Exports for Solar PV Lessons Learnt Report 3,30/09/2021,"Solar energy, Solar PV R&amp;D",SA Power Networks Flexible Exports for Solar PV Trial,https://arena.gov.au/knowledge-bank/flexible-exports-for-solar-pv-lessons-learnt-report-3/,"Reports, Lessons",https://arena.gov.au/projects/sa-power-networks-flexible-exports-for-solar-pv-trial/,2020,Past,https://arena.gov.au/assets/2021/09/flexible-exports-for-solar-pv-lessons-learnt-3.pdf,pdfs/Reports_Lessons/Flexible_Exports_for_Solar_PV_Lessons_Learnt_Report_3_fcc323.pdf,downloaded
Mussleroe Wind Farm Provision of FCAS,30/09/2021,"System security and reliability, Wind energy",Musselroe Wind Farm FCAS Trial,https://arena.gov.au/knowledge-bank/mussleroe-wind-farm-provision-of-fcas/,Reports,https://arena.gov.au/projects/musselroe-wind-farm-fcas-trial/,2018,Past,https://arena.gov.au/assets/2021/09/mussleroe-wind-farm-provision-of-fcas.pdf,pdfs/Reports/Mussleroe_Wind_Farm_Provision_of_FCAS_aedd93.pdf,downloaded
NOJA Power Intelligent Switchgear Final Report,30/09/2021,Distributed energy resources,NOJA Power Intelligent Switchgear,https://arena.gov.au/knowledge-bank/noja-power-intelligent-switchgear-final-report/,Reports,https://arena.gov.au/projects/noja-power-intelligent-switchgear/,2017,Past,https://arena.gov.au/assets/2021/09/noja-power-intelligent-switchgear-final-report.pdf,pdfs/Reports/NOJA_Power_Intelligent_Switchgear_Final_Report_265cc3.pdf,downloaded
The Generator Operations Series: Negative Pricing and Bidding Behaviour on the NEM,30/09/2021,Large-scale solar,,https://arena.gov.au/knowledge-bank/genops-three-negative-pricing-and-bidding-behaviour-on-the-nem/,Reports,,,,https://arena.gov.au/assets/2021/09/the-generator-operations-series.pdf,pdfs/Reports/The_Generator_Operations_Series__Negative_Pricing_and_Bidding_Behaviour_on_the_NEM_b8611c.pdf,downloaded
Phase 2 - Resource Assessment Report,26/09/2021,Off grid,Intermittent Dynamic Electrowinning Using Renewable Energy,https://arena.gov.au/knowledge-bank/phase-2-resource-assessment-report/,Reports,https://arena.gov.au/projects/intermittent-dynamic-electrowinning/,2019,Past,https://arena.gov.au/assets/2021/10/butcherbird-resource-assessment-report.pdf,pdfs/Reports/Phase_2_-_Resource_Assessment_Report_95b678.pdf,downloaded
Project MATCH Lessons Learnt Report 1,24/09/2021,"Distributed energy resources, Solar energy, Solar PV R&amp;D",Project MATCH,https://arena.gov.au/knowledge-bank/project-match-lessons-learnt-report-1/,"Reports, Lessons",https://arena.gov.au/projects/project-match/,2021,Past,https://arena.gov.au/assets/2021/09/project-match-lessons-learnt-report-1.pdf,pdfs/Reports_Lessons/Project_MATCH_Lessons_Learnt_Report_1_cb350e.pdf,downloaded
Diffuse Energy Lessons Learnt Report 3,23/09/2021,Wind energy,Resilient Wind Energy for Telecommunication Sites,https://arena.gov.au/knowledge-bank/diffuse-energy-lessons-learnt-report-3/,Reports,https://arena.gov.au/projects/resilient-wind-energy-for-telecommunication-sites/,2020,Past,https://arena.gov.au/assets/2021/09/diffuse-energy-lessons-learnt-report-3.pdf,pdfs/Reports/Diffuse_Energy_Lessons_Learnt_Report_3_3358fc.pdf,downloaded
Bringing All-Polymer Solar Cells Closer to Commercialization Lessons Learnt 2,21/09/2021,"Solar energy, Solar PV R&amp;D",Monash University Polymer PV Study,https://arena.gov.au/knowledge-bank/bringing-all-polymer-solar-cells-closer-to-commercialization-lessons-learnt-2/,"Reports, Lessons",https://arena.gov.au/projects/monash-university-polymer-pv-study/,2017,Past,https://arena.gov.au/assets/2021/11/bringing-all-polymer-solar-cells-closer-to-commercialization-2.pdf,pdfs/Reports_Lessons/Bringing_All-Polymer_Solar_Cells_Closer_to_Commercialization_Lessons_Learnt_2_0fd2b8.pdf,downloaded
AEMO NEM Virtual Power Plant Demonstrations Knowledge Sharing Report 4,15/09/2021,Distributed energy resources,AEMO Virtual Power Plant Demonstrations,https://arena.gov.au/knowledge-bank/aemo-nem-virtual-power-plant-demonstrations-knowledge-sharing-report-4/,"Reports, Milestones",https://arena.gov.au/projects/aemo-virtual-power-plant-demonstrations/,2019,Past,https://arena.gov.au/assets/2021/09/aemo-virtual-power-plant-demonstrations-report-4.pdf,pdfs/Reports_Milestones/AEMO_NEM_Virtual_Power_Plant_Demonstrations_Knowledge_Sharing_Report_4_61d9cf.pdf,downloaded
