Project,"Link to project",Category,Summary/Information,"Arena funding provided","Total project value","Lead organisation","Arena program","Start date",Location,"Project partners",Status
"United Energy Voltage Controlled Frequency Regulation System",https://arena.gov.au/projects/united-energy-voltage-controlled-frequency-regulation-system/,"System security and reliability","The United Energy Voltage Controlled Frequency Regulation System will test United Energy’s Dynamic Voltage Management System capability to deliver Frequency Control Ancillary Services (FCAS) to the Australian Energy Market Operator (AEMO) and the National Electricity Market (NEM)
",$900k,$1.4m,"United Energy Distribution Pty Ltd","Advancing Renewables Program",31/05/2019,Victoria,None,Past
"National Ultrafast EV Charging Infrastructure Network",https://arena.gov.au/projects/national-ultrafast-ev-charging-infrastructure-network/,"Electric vehicles","The National Ultrafast EV Charging Infrastructure Network project by Evie Networks will be deploying Australia’s largest ultra-fast charging infrastructure network. This project will play a significant role in improving Australia’s electric vehicle (EV) readiness by removing driver range anxiety, which is one of the major barriers that limits the adoption of EVs.
",$15m,$50.2m,"Fast Cities Australia Pty Ltd (trading as Evie Networks)","Advancing Renewables Program",28/05/2019,"National, Queensland","St Baker Energy Innovation Fund",Current
"National Energy Simulator Feasibility Study",https://arena.gov.au/projects/national-energy-simulator-feasibility-study/,"System security and reliability","The Australian Energy Market Operator (AEMO), in collaboration with the Commonwealth Scientific and Industrial Research Organisation (CSIRO), is undertaking the National Energy Simulator Feasibility Study to develop a first-in-class, cross-domain, and highly detailed simulation system of Australia’s energy systems.
",$500k,$1.71m,"Australian Energy Market Operator (AEMO)","Advancing Renewables Program",24/05/2019,"Melbourne, Victoria","Commonwealth Scientific and Industrial Research Organisation (CSIRO)",Past
"Renewable Hydrogen Production and Refuelling Project",https://arena.gov.au/projects/renewable-hydrogen-production-and-refuelling-project/,"Hydrogen energy","The Renewable Hydrogen Production and Refuelling Project aims to demonstrate renewable hydrogen production at a commercially viable scale, and help progress the commercialisation of hydrogen for vehicle transport in Australia.
",$1.14m,$4.93m,"BOC Limited","Advancing Renewables Program",01/05/2019,"Pinkenba, Queensland","ITM Power, Queensland University of Technology, Hyundai Motor Company Australia  ",Past
"Commercialisation of Renewable Crude Oil Production",https://arena.gov.au/projects/commercialisation-of-renewable-crude-oil-production/,"Bioenergy / Energy from waste","Southern Oil Refining Pty Ltd aims to build and operate a demonstration scale hydrothermal liquefaction (HTL) reactor to produce crude oil from biosolids (a by-product of treated wastewater) that will be capable of scaling up to commercial scale. The renewable crude oil will be upgraded to renewable diesel (and potentially jet fuel) using the existing facilities at the Northern Oil Refining facility in Gladstone, Queensland.
",$4m,$12.29m,"Southern Oil Refining Pty Ltd","Advancing Renewables Program",23/04/2019,"Gladstone, Queensland","Melbourne Water Corporation, Queensland Urban Utilities",Past
"AEMO Virtual Power Plant Demonstrations",https://arena.gov.au/projects/aemo-virtual-power-plant-demonstrations/,"Distributed energy resources","A Virtual Power Plant (VPP) broadly refers to a group of resources that are coordinated using software and communications technology to deliver services traditionally performed by a conventional power plant. In Australia, grid-connected VPPs focus on coordinating rooftop photovoltaic (PV), battery storage and controllable load devices.
",$3.46m,$7.07m,"Australian Energy Market Operator Limited","Advancing Renewables Program",29/03/2019,Victoria,None,Past
"Decentralised Energy Exchange (deX) Program",https://arena.gov.au/projects/decentralised-energy-exchange/,"Distributed energy resources","GreenSync’s Decentralised Energy Exchange (deX) is a market-enabling digital platform that aims to provide electricity networks with better coordination and control of the increasing volume of distributed energy resources (DER) in the electricity grid. deX also aims to enable consumers to get more value from their energy assets (such as solar, batteries and electric vehicles), by being rewarded for participating in grid services.
",$8.31m,$17.27m,"GreenSync Pty Ltd","Advancing Renewables Program",26/03/2019,Victoria,None,Past
"UniWave200 King Island Project - Wave Swell",https://arena.gov.au/projects/uniwave200-king-island-project-wave-swell/,"Ocean energy","The UniWave200 King Island Project included the design, construction, deployment, installation and operation of the UniWave200, a 200KW wave energy converter near Grassy Harbour on King Island, Tasmania.
",$4.03m,$19.37m,"Wave Swell Energy","Advancing Renewables Program",26/03/2019,"King Island, Tasmania",None,Past
"Intermittent Dynamic Electrowinning Using Renewable Energy",https://arena.gov.au/projects/intermittent-dynamic-electrowinning/,"Off grid","Element 25’s (E25) Pilot studies for Intermittent Dynamic Electrowinning (IDE) Using Renewable Energy Project will examine the viability of using renewable energy to power E25’s Butcherbird metal production process in Western Australia.
",$266k,$756k,"Element 25 Limited","Advancing Renewables Program",22/03/2019,"Kumarina, Western Australia",None,Past
"Lake Bonney Stages 2/3",https://arena.gov.au/projects/lake-bonney-stages-2-3/,"Wind energy","This Lake Bonney Stages 2/3 project introduces a short-term wind production forecasting product into the Australian market from Vestas, Australia’s largest wind energy solution provider, and its wholly owned subsidiary Utopus Insights, an energy analytics provider with 15 years of experience in energy software solutions.
",$405k,$1.1m,"Vestas - Australian Wind Technology Pty Ltd","Advancing Renewables Program",19/03/2019,"German Flat, South Australia","Infigen Energy Services Pty Limited, Utopus Insights, Inc.\",Past
"Solar Power Ensemble Forecaster",https://arena.gov.au/projects/solar-power-ensemble-forecaster/,"Solar energy","Accurately forecasting the output of grid connected solar systems is critical to increasing the overall penetration of solar and renewables on the electrical network. This is important for the stability and management of the electrical system as a whole.
",$1.24m,$3.37m,"Industrial Monitoring & Control (IMC)","Advancing Renewables Program",15/03/2019,"New South Wales, Queensland, Victoria","University of South Australia Centre for Industrial and Applied Mathematics, University of New South Wales, CSIRO",Past
"Ararat Wind Farm",https://arena.gov.au/projects/ararat-wind-farm/,"Wind energy","Forecasts for wind generators operating in the National Electricity Market (NEM) have historically been provided by the Australian Wind Energy Forecasting System (AWEFS).
",$270k,$541k,"DNV GL Australia Pty Ltd","Advancing Renewables Program",14/03/2019,"Victoria, Warrak","Ararat Wind Farm, RES Australia",Past
"Using Upstream LIDAR Measurements",https://arena.gov.au/projects/using-upstream-lidar-measurements-to-improve-the-accuracy-of-5-minute-ahead-wind-forecasts/,"Wind energy","In this Using Upstream LIDAR Measurements project, Windlab will use upstream LIDAR wind profile measurements to augment (supervisory control and data acquisition) SCADA information currently provided to the machine learning algorithms used in 5-minute-ahead wind forecasts.
",$393k,$813k,"Windlab Limited","Advancing Renewables Program",12/03/2019,"Hughenden, Queensland",None,Past
"Charge Together Phase 2",https://arena.gov.au/projects/charge-together-phase-2/,"Electric vehicles","Evenergi’s Charge Together &#8211; Phase 2 project will develop an online platform to help businesses and consumers make informed choices about electric vehicles (EVs), and assist electricity networks to plan for the potential impact of EVs.
",$469k,$1.27m,Evenergi,"Advancing Renewables Program",11/03/2019,"New South Wales, Sydney","Ausgrid, NSW Government, NRMA and South Australian Government",Past
"Lastek Measurement Guidelines for Tandem Solar Cells Project",https://arena.gov.au/projects/lastek-measurement-guidelines-for-tandem-solar-cells/,"Solar energy","The Lastek Measurement Guidelines for Tandem Solar Cells Project develops equipment and procedures to accurately measure the performance of multi-junction (tandem) solar cells. It creates new Australian capability to support growth in tandem solar cell research, which is expected to underpin the next wave of performance improvements for solar PV.
",$732k,$1.61m,"Lastek Pty Ltd","Advancing Renewables Program",26/02/2019,"New South Wales, South Australia",CSIRO,Past
"Toyota Ecopark Hydrogen Demonstration",https://arena.gov.au/projects/toyota-ecopark-hydrogen-demonstration/,"Hydrogen energy","The Toyota Ecopark Hydrogen Demonstration project transformed part of Toyota Australia’s decommissioned car manufacturing plant in Altona (VIC) into a renewable energy hub to produce renewable hydrogen for both stationary energy and transport energy uses.
The project demonstrated the technical and economic feasibility of producing, storing, and using hydrogen sourced from renewable powered electrolysis.
",$3.28m,$7.95m,"Toyota Motor Corporation Australia Limited","Advancing Renewables Program",20/02/2019,"Altona, Victoria",,Past
"REALM: Renewable Energy and Load Management",https://arena.gov.au/projects/realm-renewable-energy-load-management-businesses/,"Renewables for industry","REALM is a feasibility study which demonstrates how optimally integrating on-site renewables, storage and energy productivity can reduce business costs and emissions, while simultaneously supporting the network.
",$428k,$868k,"Institute for Sustainable Futures","Advancing Renewables Program",19/02/2019,"New South Wales, Queensland, South Australia, Victoria","Australian Alliance for Energy Productivity, Schneider Electric",Past
"Wind Forecasting for the NEM",https://arena.gov.au/projects/wind-forecasting-nem/,"Wind energy","Fulcrum3D’s wind forecasting for the NEM project aims to reduce uncertainty in wind power generation by providing the Australian Energy Market Operator (AEMO) with high accuracy, short-term wind power forecasts. The project will utilise a turbine agnostic wind forecasting model with distributed sensors.
",$493k,$911k,"Fulcrum3D Pty Ltd","Advancing Renewables Program",07/02/2019,"New South Wales, South Australia, Victoria","Pacific Hydro Pty Ltd",Past
"evolve DER Project",https://arena.gov.au/projects/evolve-der-project/,"Distributed energy resources","The evolve DER project aims to increase the network hosting capacity of distributed energy resources (DER) by maximising their participation in energy, ancillary and network service markets, while ensuring the secure technical limits of the electricity networks are not breached.
",$4.29m,$12.94m,"Zeppelin Bend Pty Ltd ","Advancing Renewables Program",04/02/2019,"Australian Capital Territory, New South Wales, Queensland","The ANU, Energy Queensland, Ergon Energy, Energex, Essential Energy, Endeavour Energy, Ausgrid, Reposit Power, Evergen, Redback Technologies, SwitchDIn, NSW Government",Past
"Aeolius Wind Forecasting Project",https://arena.gov.au/projects/aeolius-wind-forecasting-project/,"Wind energy","The Aeolius Wind Forecasting Project led by Aeolius Wind Systems Pty Ltd aims to demonstrate two innovative and complementary energy forecasting technologies for use in the National Electricity Market (NEM).
",$1.89m,$4.96m,"Aeolius Wind Systems","Advancing Renewables Program",31/01/2019,"MacArthur, Victoria","AGL Energy Ltd, Curtin University, Adelaide University",Current
"Proa Analytics Solar Forecasts",https://arena.gov.au/projects/proa-analytics-solar-forecasts/,"Solar energy","The Innovative Optimally Combined Solar Forecasts project recognises that power output of a solar farm fluctuates due to cloud motion over the site.
",$728k,$1.39m,"Proa Analytics Pty Ltd","Advancing Renewables Program",21/01/2019,"Queensland, Victoria","Sieltec Canarias, Oakey 1 Asset Company Pty Ltd, Genex Power Limited",Past
"Wind Forecasting Demonstration Project",https://arena.gov.au/projects/wind-forecasting-demonstration-project/,"Wind energy","Meridian Energy Australia (MEA) and the University of Melbourne are developing innovative techniques to improve 5 minute ahead, Unconstrained Intermittent Generation Forecasts (UIGF) for the Australian Energy Market Operator (AEMO).
",$2.18m,$5.52m,"Meridian Energy Australia","Advancing Renewables Program",17/01/2019,"South Australia, Victoria","University of Melbourne",Past
"Advanced VPP Grid Integration",https://arena.gov.au/projects/advanced-vpp-grid-integration/,"Distributed energy resources","The Advanced VPP Grid Integration project aims to show how higher levels of energy exports to the grid from customer solar and battery systems can be enabled through dynamic, rather than fixed, export limits, and to test the value this can create for customers and Virtual Power Plant (VPP) operators.
",$1.03m,$2.48m,"SA Power Networks","Advancing Renewables Program",15/01/2019,"South Australia","Tesla Motors Australia, CSIRO",Past
"Enhanced Reliability Through Short Time Resolution Data",https://arena.gov.au/projects/enhanced-reliability-through-short-time-resolution-data-around-voltage-disturbances/,"Distributed energy resources","Increased penetration of distributed energy resources (DER) are leaving power system operations vulnerable to the operating behaviour of a multitude of diverse, distributed generators.
",$491k,$1.28m,"Solar Analytics","Advancing Renewables Program",09/01/2019,"New South Wales",None,Past
"Smart Hot Water System",https://arena.gov.au/projects/smart-hot-water-system/,"Distributed energy resources","The Smart Hot Water System project aims to prove that a fleet of systems can be centrally controlled to manage reverse power flows into the grid and improve power system reliability.
",$40k,$61k,"Royal Automobile Club of Victoria (RACV)","Advancing Renewables Program",09/01/2019,Victoria,"Reposit Power, WheezyTech, Wilson Industries, Citipower, Powercor Australia, United Energy Distribution",Past
"Community Models for Deploying and Operating DER",https://arena.gov.au/projects/community-models-for-deploying-and-operating-distributed-energy-resources/,"Distributed energy resources","The increasing prevalence of behind­-the­-meter solar generation and battery storage is often motivated by high network tariffs, which discourage the transport of energy between generation, storage and load assets that are not co-­located.
",$498k,$1.37m,"The Australian National University","Advancing Renewables Program",09/01/2019,"Australian Capital Territory, Queensland, Tasmania, Victoria","Energy Consumers Australia, Energy Networks Association, Enova Community Energy, RePower, Shoalhaven, TasNetworks, Thinking In Colours, Totally Renewable Yackandandah, Evoenergy",Past
"Solar Farm Solutions & the Australian Energy Sector",https://arena.gov.au/projects/solcast-nowcasting-solutions-for-solar-farms/,"Solar energy","The Solar Farm Solutions &amp; the Australian Energy Sector project aims to operationalise, deploy and improve self-forecasting technology for up to eight Australian solar farms and to submit dispatch forecasts to the Australian Energy Market Operator (AEMO) to reduce costs to large-scale solar farms.
",$781k,$2.57m,"Solar and Storage Modelling Pty Ltd","Advancing Renewables Program",09/01/2019,"New South Wales, Queensland, South Australia, Victoria","Wirsol, Oakey 1 Asset Company Pty Ltd, Neoen Australia, Foresight Group, First Solar, EnergyAustralia, Edify Energy, FRV, Dispatch Solutions, CWP Renewables",Past
"Optimal DER Scheduling for Frequency Stability",https://arena.gov.au/projects/optimal-der-scheduling-for-frequency-stability-study/,"Distributed energy resources","This Optimal DER Scheduling for Frequency Stability study will investigate how to optimally schedule distributed energy resources (DER) to provide low-cost frequency stability services within distribution network constraints and while respecting the motivations and primary functionality desired by DER owners (i.e. reduced cost, independence etc.)
",$527k,$1.71m,"The University of Tasmania","Advancing Renewables Program",07/01/2019,Tasmania,"The ANU, TasNetworks, Powerlink Queensland, Technische Universitat Berlin",Past
"Advanced Planning of PV-Rich Distribution Networks Study",https://arena.gov.au/projects/advanced-planning-of-pv-rich-distribution-networks-study/,"Distributed energy resources","This project will develop analytical techniques to assess residential solar PV hosting capacity of electricity distribution networks by leveraging existing network and customer data. This project will also produce planning recommendations to increase solar PV hosting capacity using non-traditional solutions that exploit the capabilities of PV inverters, voltage regulation devices, and battery energy storage systems.
",$203k,$497k,"University of Melbourne","Advancing Renewables Program",07/01/2019,Victoria,Ausnet,Past
"Hydrostor Angas A-CAES Project",https://arena.gov.au/projects/hydrostor-angas-a-caes-project/,"Hydropower / Pumped Hydro Energy Storage","The Hydrostor Angas A-CAES Project is Australia’s first Advanced Compressed Air Energy Storage (A-CAES) facility.
",$0k,$33m,"Hydrostor Australia Pty Ltd.","Advancing Renewables Program",07/01/2019,"South Australia",None,Past
"Advanced Energy Resources Wind, Solar and Battery Project",https://arena.gov.au/projects/advanced-energy-resources-wind-solar-and-battery-project/,"Battery storage","Second-hand wind turbines, solar and a battery will combine to power a remote mine in Western Australia.
",$2.93m,$12.17m,"PGWF Pty Ltd","Advancing Renewables Program",07/01/2019,"Port Gregory, Western Australia","Advanced Energy Resources Pty Ltd",Current
"Demonstration of Three Dynamic Grid-Side Technologies",https://arena.gov.au/projects/demonstration-of-three-dynamic-grid-side-technologies/,"Distributed energy resources","The Demonstration of Three Dynamic Grid-Side Technologies project aims to roll out three novel technologies and intelligent control systems to understand and demonstrate their ability to increase the uptake of distributed energy resources (DER) at the neighbourhood level, safely and cost-effectively.
",$1.06m,$2.12m,"Jemena Electricity Networks (Vic)","Advancing Renewables Program",04/01/2019,Victoria,"AusNet Services, University of NSW, State Grid International Development Co.",Past
"Distributed Energy Resources Hosting Capacity Study",https://arena.gov.au/projects/distributed-energy-resources-hosting-capacity-study/,"Distributed energy resources","The project aims to demonstrate the issues faced by Australian distribution networks in maintaining security and quality of supply in the context of increasing distributed energy resource (DER) penetration.
",$164k,$353k,"Powercor Australia Ltd","Advancing Renewables Program",20/12/2018,"Melbourne, Victoria","ENEA Australia",Past
"Conversion of Remote Crude Oil Beam Pumps to Solar & Battery",https://arena.gov.au/projects/conversion-of-remote-crude-oil-beam-pumps/,"Solar energy","Santos’ trial project will convert 56 crude oil beam pumps, which are engine powered to 100 per cent renewable solar photovoltaic (PV) and battery storage systems.
",$4.2m,$16.05m,"Santos Limited","Advancing Renewables Program",14/12/2018,"Queensland, South Australia",None,Past
"National Low-Voltage Feeder Taxonomy Study",https://arena.gov.au/projects/national-low-voltage-feeder-taxonomy-study/,"Distributed energy resources","The National Low-Voltage Feeder Taxonomy Study aims to produce the first national low-voltage network taxonomy that outlines the real-world characteristics of the distribution system.
",$485k,$2.7m,CSIRO,"Advancing Renewables Program",14/12/2018,"New South Wales, Newcastle","Energy Networks Australia, Ausgrid, AusNet Electricity Services, Western Power, Endeavour Energy, Energy Queensland, Essential Energy, Horizon Power, SA Power Networks, TasNetworks",Past
"Dynamic Limits DER Feasibility Study",https://arena.gov.au/projects/dynamic-limits-der-feasibility-study/,"Distributed energy resources","The Dynamic Limits DER Feasibility Study will explore implementing dynamic distributed energy resources (DER) export limits to better manage voltage and thermal constraints on the electricity network.
",$292k,$798k,"Dynamic Limits Pty Ltd","Advancing Renewables Program",12/12/2018,"New South Wales, South Australia","UniSA, SAGE Automation, Opto22",Past
"Gullen Range Wind Farm Field Study",https://arena.gov.au/projects/gullen-range-wind-farm-field-study/,"System security and reliability","Goldwind successfully installed and tested the Inertia-Based Fast Frequency Response (IBFFR) on 10 wind turbines at Gullen Range Wind Farm in NSW, supported by the wind farm’s owner BJCE Australia.
",$271k,$573k,"Goldwind Australia","Advancing Renewables Program",12/12/2018,"Bannister, New South Wales",None,Past
"Pricing and Integration of Distributed Energy Resources",https://arena.gov.au/projects/pricing-and-integration-of-distributed-energy-resources-study/,"Distributed energy resources","The project examines a way to value &amp; provide pricing and integration for distributed energy resources services within network and customer sites. This includes direct customer DER, aggregation of DER, wholesale market integration of DER, and the use of DER for ancillary services and reserves.
",$207k,$569k,"Oakley Greenwood Pty Ltd","Advancing Renewables Program",06/12/2018,Queensland,"Australian Energy Council Limited, Australian Energy Market Operation Limited, Energy Consumers Australia Limited, Total Environment Centre Inc, Enel X (formally EnerNOC), OC Energy, GreenSync",Past
"Indra Monash Smart City",https://arena.gov.au/projects/indra-monash-smart-city/,"Distributed energy resources","The Indra Monash Smart City will demonstrate how smart and renewable technologies can be integrated at the Monash University Clayton embedded network to maintain power quality and test market driven responses and business models.
",$2.97m,$7.17m,"Indra Australia Pty Limited","Advancing Renewables Program",24/11/2018,"Clayton, Victoria",None,Past
"Residential Heat Pump Study",https://arena.gov.au/projects/residential-heat-pump-study/,"Geothermal energy","The Residential Heat Pump Study is a three-year study on the commercial-scale demonstration of renewable (thermal energy) ground source heat pumps (GSHPs). Based in the Fairwater master-planned residential community in Western Sydney, the project seeks to establish the business case for industry-wide adoption of using GSHPs to provide residential heating and cooling in greenfield developments.
",$500k,$1.64m,"Climate-KIC Australia","Advancing Renewables Program",12/11/2018,"Blacktown, New South Wales","Presync, Frasers, New South Wales Office of Environment and Heritage, University of Technology Sydney, Curtin University, Wattwatchers, Green Building Council of Australia",Past
"Accelerating the Growth Development of Energy Monitoring",https://arena.gov.au/projects/accelerating-the-growth-development-of-energy-monitoring/,"Renewables for industry","This project will deploy technologies to accelerate the growth of energy monitoring for households and small businesses with rooftop solar.
",$160k,$23.09m,"Solar Analytics","Advancing Renewables Program",05/11/2018,"New South Wales, Redfern",None,Past
"Application of Advanced Short Term Power Generation Forecasting",https://arena.gov.au/projects/advanced-short-term-power-generation/,"Solar energy","Sustainably integrating wind and solar power into the national electricity grid requires precise forecasting of power output from wind and solar farms.
",$499k,$999k,"Advisian Pty Ltd","Advancing Renewables Program",01/11/2018,Queensland,"Monash University, Palisade Investment Partners Limited",Past
"Mount Piper Energy Recovery Project Final Investment Decision Study",https://arena.gov.au/projects/mount-piper-energy-recovery-project-final-investment-decision-study/,"Bioenergy / Energy from waste","The Mount Piper Energy Recovery Project Final Investment Decision Study is a technical and economic feasibility study of converting waste to energy and providing steam for integration into Mount Piper Power Station in NSW.
",$1.06m,$3.58m,"RE. Group, EnergyAustralia Development","Advancing Renewables Program",19/10/2018,"Blackmans Flat, New South Wales",None,Past
"Chargefox Electric Vehicle Charging Network Project",https://arena.gov.au/projects/chargefox-electric-vehicle-charging-network-project/,"Electric vehicles","The Chargefox Electric Vehicle Charging Network Project will play a significant part in improving Australia’s infrastructure and remove one of the major barriers that limits the adoption of electric vehicles (EVs).
",$6m,$15m,Chargefox,"Advancing Renewables Program",16/10/2018,"New South Wales, Queensland, South Australia, Victoria, Western Australia",,Past
"Kwinana Energy Recovery Project",https://arena.gov.au/projects/kwinana-energy-recovery-project/,"Bioenergy / Energy from waste","Kwinana Energy Recovery will be the first facility in Australia that integrates recovery and reuse of waste with the generation of electricity set to deliver renewable baseload power to a large metropolitan population and an industrial base. The facility will use world-class technologies to process 460,000 tonnes per year of residual non-recyclable waste. Kwinana Energy Recovery will not only process non-recyclable waste for energy recovery, but it will also produce ash by-products which are used internationally for construction materials such as bricks and aggregate for roads.
",$23m,$696m,Acciona,"Advancing Renewables Program",16/10/2018,"Kwinana, Western Australia","Acciona, Veolia, Keppel SeghersEnd Date reflects the completion of the ARENA Funding Agreement when all obligations are met, not the date of construction completion",Current
"Ausgrid Power2U Project",https://arena.gov.au/projects/ausgrid-power2u/,"Demand response","The Ausgrid Power2U project involves the establishment a $4.1 million fund to help selected customers to permanently reduce their electricity use on Ausgrid’s network. By permanently reducing customer demand for grid supplied electricity, Ausgrid can delay, or avoid, network investment and, over time, lower the cost of electricity for all customers.
",$1m,$4.2m,Ausgrid,"Advancing Renewables Program",04/10/2018,"New South Wales","City of Sydney",Past
"Fulcrum3D CloudCAM Solar Forecasting",https://arena.gov.au/projects/fulcrum3d-cloudcam-solar-forecasting-for-the-nem/,"Solar energy","The Fulcrum3D CloudCAM solar forecasting project aims to provide high accuracy short-term power forecasts utilising all-sky cameras and state-of-the-art software. The project will forecast power generated at Genex Power’s 50 MW Kidston Solar Farm in Queensland (including reduction in output from cloud cover) to reduce uncertainty in solar power generation.
",$490k,$991k,"Fulcrum3D Pty Ltd","Advancing Renewables Program",19/09/2018,"Einasleigh, Queensland","Genex Power Ltd",Past
"Business Renewables Centre Australia",https://arena.gov.au/projects/business-renewables-centre-australia/,"Renewables for industry","The Business Renewables Centre Australia project will establish the first Business Renewables Centre in Australia (BRC-A) – an online resource centre and marketplace platform, supported by face-to-face events and training to increase renewable energy use within Australian organisations (particularly commercial and industrial energy users).
",$500k,$1.73m,"Climate-KIC Australia","Advancing Renewables Program",13/09/2018,"New South Wales",None,Past
"Project Marinus: Further Bass Strait Interconnection",https://arena.gov.au/projects/project-marinus-further-bass-strait-interconnection/,"System security and reliability","The Project Marinus project led by TasNetworks will receive up to $10 million of funding from ARENA to further investigate how the Bass Strait interconnection might form a key part of Australia’s future electricity and telecommunications grid.
",$10m,$20m,TasNetworks,"Advancing Renewables Program",04/09/2018,Tasmania,None,Past
"Shoalhaven Pumped Hydro Expansion Feasibility Study",https://arena.gov.au/projects/shoalhaven-pumped-hydro/,"Hydropower / Pumped Hydro Energy Storage","The Shoalhaven Pumped Hydro Energy Storage (PHES) feasibility study will explore the technical and commercial feasibility of expanding the existing Shoalhaven PHES Scheme.
",$1.6m,$7.2m,"Origin Energy Eraring Pty Limited","Advancing Renewables Program",28/08/2018,"New South Wales",None,Past
"Cities Power Partnership",https://arena.gov.au/projects/cities-power-partnership/,"Distributed energy resources","The Cities Power Partnership (CPP) is the largest local government climate program, with 100 councils representing almost 11 million Australians.
",$493k,$2.32m,"Climate Council of Australia Ltd","Advancing Renewables Program",27/08/2018,Victoria,None,Past
"BMS-Inverter Hybrid Project",https://arena.gov.au/projects/bms-inverter-hybrid-project/,"Battery storage","The BMS-Inverter Hybrid Project combines two central components in battery storage systems – the battery management system and the inverter – into a single solution, leading to lower system costs and increased lifespan.
",$338k,$751k,Relectrify,"Advancing Renewables Program",22/08/2018,Victoria,None,Past
"Jemena Power to Gas Demonstration",https://arena.gov.au/projects/jemena-power-to-gas-demonstration/,"Hydrogen energy","The Jemena Power to Gas Demonstration project involves designing and constructing a Power-to-Gas (P2G) facility which will source renewable electricity and convert it into hydrogen via electrolysis.
",$7.5m,$13.21m,Jemena,"Advancing Renewables Program",09/08/2018,"New South Wales, Sydney",None,Past
"Middleback Ranges PHES Pre-Feasibility Study",https://arena.gov.au/projects/middleback-ranges-pumped-hydro-energy-storage-project-pre-feasibility-study/,"Hydropower / Pumped Hydro Energy Storage","The Middleback Ranges PHES Pre-Feasibility Study is a study for the development of a PHES plant at a mine site known as the “Iron Duchess North” in the Middleback Ranges, South Australia. The base case for the pre-feasibility study is 110MW dispatchable power and six hours storage with consideration to increase capacity to 220MW.
",$500k,$1.62m,"OneSteel Manufacturing Pty Ltd","Advancing Renewables Program",03/08/2018,"South Australia",None,Past
"Bio Inspired Hydrogen Generation",https://arena.gov.au/projects/bio-inspired-hydrogen-generation/,"Hydrogen energy","Electrolysis uses Electrical Energy to convert Water into the Clean Fuel, Hydrogen, with pure Oxygen as a bi-product. This Bio Inspired Hydrogen Generation project, using inspiration from Nature, will develop a new Electrolysis Technology, more simple and efficient than any known to operate from pure water and renewably generated electricity.
",$615k,$1.77m,"The Australian National University","Advancing Renewables Program",01/08/2018,"Australian Capital Territory, New South Wales","University of Wollongong",Past
"Improving Efficiency, Durability & Cost-effectiveness of III-V Semiconductors",https://arena.gov.au/projects/direct-water-electrolysis/,"Hydrogen energy","This project aims to demonstrate a photo electrochemical system using III-V multi-junction semiconductors through cost-effective epitaxial lift-off techniques that are surface modified for robust operation.
",$1.31m,$3.52m,"The Australian National University","Advancing Renewables Program",01/08/2018,"Australian Capital Territory","MicroLink Devices, Inc., University of Michigan",Past
"Efficient Solar Hydrogen Generation",https://arena.gov.au/projects/efficient-solar-hydrogen-generation/,"Hydrogen energy","The Efficient Solar Hydrogen Generation project investigates the fabrication and integration of low-cost semiconductors and earth abundant catalysts to address one of the most significant challenges for hydrogen production: the development of efficient, stable and cheap solar water splitting systems.
",$1.71m,$4.37m,"The Australian National University","Advancing Renewables Program",01/08/2018,"Australian Capital Territory","Shenzhen Kohodo Hydrogen Energy, University of New South Wales",Past
"CSIRO - Solar Thermochemical Hydrogen Research and Development",https://arena.gov.au/projects/solar-thermochemical-hydrogen-research-and-development/,"Hydrogen energy","The Solar Thermochemical Hydrogen Research and Development project will demonstrate Australia’s first solar thermal beam down system, concentrating solar energy from a heliostat field in order to heat a fluidised bed on the ground to 1300 °C.
",$2.21m,$6.05m,CSIRO,"Advancing Renewables Program",01/08/2018,"New South Wales","Niigata University, Japan Institute of Applied Energy (IAE)",Past
"Hydrogen to Ammonia Research and Development",https://arena.gov.au/projects/hydrogen-to-ammonia/,"Hydrogen energy","The Hydrogen to Ammonia Research and Development project is to develop an ammonia production process which is less energy intensive than the conventional Haber-Bosch process and does not contribute to any greenhouse gas emissions.
",$1.17m,$2.83m,CSIRO,"Advancing Renewables Program",01/08/2018,Victoria,"Orica Australia Pty, Grains Research and Development Corporation",Past
"Methane Fuel Carrier Research and Development",https://arena.gov.au/projects/methane-fuel-carrier/,"Hydrogen energy","The Methane Fuel Carrier Research and Development project will investigate the production of synthetic methane as a readily exportable, renewable fuel, derived from atmospheric carbon dioxide and hydrogen produced from renewable sources.
",$1.08m,$2.17m,CSIRO,"Advancing Renewables Program",01/08/2018,"New South Wales",None,Past
"Liquid Fuel Carrier Research and Development",https://arena.gov.au/projects/liquid-fuel-carrier/,"Hydrogen energy","The Liquid Fuel Carrier Research and Development project proposes a game changing technology for conversion of solar energy to liquid fuels.
",$1.01m,$2.51m,CSIRO,"Advancing Renewables Program",01/08/2018,Victoria,"Johnson Matthey, BG Negev Technologies and Applications",Past
"Biological Hydrogen Production",https://arena.gov.au/projects/biological-hydrogen-production/,"Hydrogen energy","The Biological Hydrogen Production project will produce a bacteria that can efficiently and rapidly convert sugars from various renewable sources into hydrogen gas.
",$1.14m,$2.82m,"Macquarie University","Advancing Renewables Program",01/08/2018,"New South Wales","Bioplatforms Australia, BOC Australia",Past
